City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,masvingo,-20.0637,30.8277,23.03,25,0,5.21,ZW,1726449518
1,ilulissat,69.2167,-51.1,-1.47,81,100,2.33,GL,1726449520
2,alice springs,-23.7,133.8833,14.75,20,100,6.69,AU,1726449275
3,sao gabriel da cachoeira,-0.1303,-67.0892,26.33,72,6,1.07,BR,1726449522
4,albina,5.5,-54.05,24.5,86,80,2.03,SR,1726449523
5,ushuaia,-54.8,-68.3,1.81,75,0,3.09,AR,1726449524
6,adamstown,-25.066,-130.1015,20.22,83,100,5.86,PN,1726449525
7,nemuro,43.3236,145.575,16.74,72,0,3.66,JP,1726449240
8,ocos,14.5094,-92.1933,29.3,76,100,2.25,GT,1726449527
9,ribeira grande,38.5167,-28.7,23.21,82,100,4.02,PT,1726449528
10,vrontados,38.4089,26.1328,20.36,55,0,0.91,GR,1726449529
11,maintirano,-18.0667,44.0167,23.57,81,28,1.85,MG,1726449531
12,saint-philippe,-21.3585,55.7679,19.46,68,44,5.83,RE,1726449532
13,port-aux-francais,-49.35,70.2167,2.64,77,100,15.06,TF,1726449236
14,bilibino,68.0546,166.4372,1.59,99,100,2.87,RU,1726449534
15,sosnovo-ozerskoye,52.5249,111.5418,7.25,61,0,7.09,RU,1726449535
16,bethel,41.3712,-73.414,18.28,82,0,0.45,US,1726449536
17,cidreira,-30.1811,-50.2056,15.79,84,100,3.97,BR,1726449537
18,puerto ayora,-0.7393,-90.3518,20.86,95,70,2.68,EC,1726449538
19,coroata,-4.13,-44.1242,26.79,54,1,2.4,BR,1726449539
20,callao,-12.0667,-77.15,17.62,82,100,2.06,PE,1726449540
21,itoman,26.1247,127.6694,32.01,81,75,8.75,JP,1726449541
22,huarmey,-10.0681,-78.1522,17.09,85,87,3.59,PE,1726449543
23,whitehorse,60.7161,-135.0538,12.12,77,99,1.79,CA,1726449250
24,grytviken,-54.2811,-36.5092,-2.55,84,98,5.28,GS,1726449546
25,san juanito,28.0,-107.5833,17.38,76,60,3.53,MX,1726449547
26,hamilton,39.1834,-84.5333,25.56,45,0,2.06,US,1726449548
27,bredasdorp,-34.5322,20.0403,9.62,83,100,1.99,ZA,1726449549
28,mirny,62.5353,113.9611,1.72,64,6,3.51,RU,1726449550
29,upper hutt,-41.1383,175.0502,11.51,99,100,3.05,NZ,1726449551
30,waitangi,-43.9535,-176.5597,11.57,86,22,0.89,NZ,1726449552
31,klyuchi,52.2667,79.1667,3.14,71,0,5.74,RU,1726449554
